Source Name	Comment[ENA_SAMPLE]	Comment[BioSD_SAMPLE]	Characteristics[organism]	Characteristics[individual]	Characteristics[age]	Unit[time unit]	Characteristics[sex]	Characteristics[developmental stage]	Characteristics[disease]	Characteristics[genotype]	Characteristics[organism part]	Characteristics[cell type]	Characteristics[cell line]	Material Type	Protocol REF	Protocol REF	Protocol REF	Extract Name	Comment[LIBRARY_LAYOUT]	Comment[LIBRARY_SELECTION]	Comment[LIBRARY_SOURCE]	Comment[LIBRARY_STRAND]	Comment[LIBRARY_STRATEGY]	Comment[NOMINAL_LENGTH]	Comment[NOMINAL_SDEV]	Comment[ORIENTATION]	Comment[cdna read]	Comment[cdna read offset]	Comment[cdna read size]	Comment[cell barcode offset]	Comment[cell barcode read]	Comment[cell barcode size]	Comment[end bias]	Comment[input molecule]	Comment[library construction]	Comment[primer]	Comment[single cell isolation]	Comment[spike in]	Comment[umi barcode offset]	Comment[umi barcode read]	Comment[umi barcode size]	Protocol REF	Performer	Assay Name	Comment[technical replicate group]	Technology Type	Comment[ENA_EXPERIMENT]	Scan Name	Comment[SUBMITTED_FILE_NAME]	Comment[ENA_RUN]	Comment[FASTQ_URI]	Comment[read1 file]	Comment[read2 file]	Factor Value[time]	Unit[time unit]	Term Source REF	Term Accession Number
Sample 1	ERS7007749	SAMEA9273528	Homo sapiens	sample1	77	year	male	adult	glioblastoma multiforme	BFP expressing lentivirus	brain	glial brain cell	U3065MG	cell	P-MTAB-111272	P-MTAB-111273	P-MTAB-111274	Sample 1	PAIRED	PolyA	TRANSCRIPTOMIC SINGLE CELL	not applicable	RNA-Seq	300	50	5'-3'-3'-5'	read 2	0	91	0	read 1	16	3 prime tag	polyA RNA	10xV3	oligo-dT	10x	none	16	read 1	12	P-MTAB-111275	SciLifeLab - SNP&SEQ, NGI 	UC-2915-Sample1_S1_L001	group 1	sequencing assay	ERX5768853	UC-2915-Sample1_S1_L001_R1_001.fastq.gz	UC-2915-Sample1_S1_L001_R1_001.fastq.gz	ERR6131690	ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR613/000/ERR6131690/ERR6131690_1.fastq.gzUC-2915-Sample1_S1_L001_R1_001.fastq.gz	UC-2915-Sample1_S1_L001_R1_001.fastq.gz	UC-2915-Sample1_S1_L001_R2_001.fastq.gz	7	day	EFO	UO_0000033
Sample 1	ERS7007749	SAMEA9273528	Homo sapiens	sample1	77	year	male	adult	glioblastoma multiforme	BFP expressing lentivirus	brain	glial brain cell	U3065MG	cell	P-MTAB-111272	P-MTAB-111273	P-MTAB-111274	Sample 1	PAIRED	PolyA	TRANSCRIPTOMIC SINGLE CELL	not applicable	RNA-Seq	300	50	5'-3'-3'-5'	read 2	0	91	0	read 1	16	3 prime tag	polyA RNA	10xV3	oligo-dT	10x	none	16	read 1	12	P-MTAB-111275	SciLifeLab - SNP&SEQ, NGI 	UC-2915-Sample1_S1_L001	group 1	sequencing assay	ERX5768853	UC-2915-Sample1_S1_L001_R2_001.fastq.gz	UC-2915-Sample1_S1_L001_R2_001.fastq.gz	ERR6131690	ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR613/000/ERR6131690/ERR6131690_2.fastq.gzUC-2915-Sample1_S1_L001_R2_001.fastq.gz	UC-2915-Sample1_S1_L001_R1_001.fastq.gz	UC-2915-Sample1_S1_L001_R2_001.fastq.gz	7	day	EFO	UO_0000033
Sample 1	ERS7007749	SAMEA9273528	Homo sapiens	sample1	77	year	male	adult	glioblastoma multiforme	BFP expressing lentivirus	brain	glial brain cell	U3065MG	cell	P-MTAB-111272	P-MTAB-111273	P-MTAB-111274	Sample 1	PAIRED	PolyA	TRANSCRIPTOMIC SINGLE CELL	not applicable	RNA-Seq	300	50	5'-3'-3'-5'	read 2	0	91	0	read 1	16	3 prime tag	polyA RNA	10xV3	oligo-dT	10x	none	16	read 1	12	P-MTAB-111275	SciLifeLab - SNP&SEQ, NGI 	UC-2915-Sample1_S1_L002	group 1	sequencing assay	ERX5768853	UC-2915-Sample1_S1_L002_R1_001.fastq.gz	UC-2915-Sample1_S1_L002_R1_001.fastq.gz	ERR6131691	ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR613/001/ERR6131691/ERR6131691_1.fastq.gzUC-2915-Sample1_S1_L002_R1_001.fastq.gz	UC-2915-Sample1_S1_L002_R1_001.fastq.gz	UC-2915-Sample1_S1_L002_R2_001.fastq.gz	7	day	EFO	UO_0000033
Sample 1	ERS7007749	SAMEA9273528	Homo sapiens	sample1	77	year	male	adult	glioblastoma multiforme	BFP expressing lentivirus	brain	glial brain cell	U3065MG	cell	P-MTAB-111272	P-MTAB-111273	P-MTAB-111274	Sample 1	PAIRED	PolyA	TRANSCRIPTOMIC SINGLE CELL	not applicable	RNA-Seq	300	50	5'-3'-3'-5'	read 2	0	91	0	read 1	16	3 prime tag	polyA RNA	10xV3	oligo-dT	10x	none	16	read 1	12	P-MTAB-111275	SciLifeLab - SNP&SEQ, NGI 	UC-2915-Sample1_S1_L002	group 1	sequencing assay	ERX5768853	UC-2915-Sample1_S1_L002_R2_001.fastq.gz	UC-2915-Sample1_S1_L002_R2_001.fastq.gz	ERR6131691	ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR613/001/ERR6131691/ERR6131691_2.fastq.gzUC-2915-Sample1_S1_L002_R2_001.fastq.gz	UC-2915-Sample1_S1_L002_R1_001.fastq.gz	UC-2915-Sample1_S1_L002_R2_001.fastq.gz	7	day	EFO	UO_0000033
Sample 1	ERS7007749	SAMEA9273528	Homo sapiens	sample1	77	year	male	adult	glioblastoma multiforme	BFP expressing lentivirus	brain	glial brain cell	U3065MG	cell	P-MTAB-111272	P-MTAB-111273	P-MTAB-111274	Sample 1	PAIRED	PolyA	TRANSCRIPTOMIC SINGLE CELL	not applicable	RNA-Seq	300	50	5'-3'-3'-5'	read 2	0	91	0	read 1	16	3 prime tag	polyA RNA	10xV3	oligo-dT	10x	none	16	read 1	12	P-MTAB-111275	SciLifeLab - SNP&SEQ, NGI 	UC-2915-Sample1_S3_L001	group 1	sequencing assay	ERX5768853	UC-2915-Sample1_S3_L001_R1_001.fastq.gz	UC-2915-Sample1_S3_L001_R1_001.fastq.gz	ERR6131692	ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR613/002/ERR6131692/ERR6131692_1.fastq.gzUC-2915-Sample1_S3_L001_R1_001.fastq.gz	UC-2915-Sample1_S3_L001_R1_001.fastq.gz	UC-2915-Sample1_S3_L001_R2_001.fastq.gz	7	day	EFO	UO_0000033
Sample 1	ERS7007749	SAMEA9273528	Homo sapiens	sample1	77	year	male	adult	glioblastoma multiforme	BFP expressing lentivirus	brain	glial brain cell	U3065MG	cell	P-MTAB-111272	P-MTAB-111273	P-MTAB-111274	Sample 1	PAIRED	PolyA	TRANSCRIPTOMIC SINGLE CELL	not applicable	RNA-Seq	300	50	5'-3'-3'-5'	read 2	0	91	0	read 1	16	3 prime tag	polyA RNA	10xV3	oligo-dT	10x	none	16	read 1	12	P-MTAB-111275	SciLifeLab - SNP&SEQ, NGI 	UC-2915-Sample1_S3_L001	group 1	sequencing assay	ERX5768853	UC-2915-Sample1_S3_L001_R2_001.fastq.gz	UC-2915-Sample1_S3_L001_R2_001.fastq.gz	ERR6131692	ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR613/002/ERR6131692/ERR6131692_2.fastq.gzUC-2915-Sample1_S3_L001_R2_001.fastq.gz	UC-2915-Sample1_S3_L001_R1_001.fastq.gz	UC-2915-Sample1_S3_L001_R2_001.fastq.gz	7	day	EFO	UO_0000033
Sample 1	ERS7007749	SAMEA9273528	Homo sapiens	sample1	77	year	male	adult	glioblastoma multiforme	BFP expressing lentivirus	brain	glial brain cell	U3065MG	cell	P-MTAB-111272	P-MTAB-111273	P-MTAB-111274	Sample 1	PAIRED	PolyA	TRANSCRIPTOMIC SINGLE CELL	not applicable	RNA-Seq	300	50	5'-3'-3'-5'	read 2	0	91	0	read 1	16	3 prime tag	polyA RNA	10xV3	oligo-dT	10x	none	16	read 1	12	P-MTAB-111275	SciLifeLab - SNP&SEQ, NGI 	UC-2915-Sample1_S3_L002	group 1	sequencing assay	ERX5768853	UC-2915-Sample1_S3_L002_R1_001.fastq.gz	UC-2915-Sample1_S3_L002_R1_001.fastq.gz	ERR6131693	ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR613/003/ERR6131693/ERR6131693_1.fastq.gzUC-2915-Sample1_S3_L002_R1_001.fastq.gz	UC-2915-Sample1_S3_L002_R1_001.fastq.gz	UC-2915-Sample1_S3_L002_R2_001.fastq.gz	7	day	EFO	UO_0000033
Sample 1	ERS7007749	SAMEA9273528	Homo sapiens	sample1	77	year	male	adult	glioblastoma multiforme	BFP expressing lentivirus	brain	glial brain cell	U3065MG	cell	P-MTAB-111272	P-MTAB-111273	P-MTAB-111274	Sample 1	PAIRED	PolyA	TRANSCRIPTOMIC SINGLE CELL	not applicable	RNA-Seq	300	50	5'-3'-3'-5'	read 2	0	91	0	read 1	16	3 prime tag	polyA RNA	10xV3	oligo-dT	10x	none	16	read 1	12	P-MTAB-111275	SciLifeLab - SNP&SEQ, NGI 	UC-2915-Sample1_S3_L002	group 1	sequencing assay	ERX5768853	UC-2915-Sample1_S3_L002_R2_001.fastq.gz	UC-2915-Sample1_S3_L002_R2_001.fastq.gz	ERR6131693	ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR613/003/ERR6131693/ERR6131693_2.fastq.gzUC-2915-Sample1_S3_L002_R2_001.fastq.gz	UC-2915-Sample1_S3_L002_R1_001.fastq.gz	UC-2915-Sample1_S3_L002_R2_001.fastq.gz	7	day	EFO	UO_0000033
Sample 1	ERS7007749	SAMEA9273528	Homo sapiens	sample1	77	year	male	adult	glioblastoma multiforme	BFP expressing lentivirus	brain	glial brain cell	U3065MG	cell	P-MTAB-111272	P-MTAB-111273	P-MTAB-111274	Sample 1	PAIRED	PolyA	TRANSCRIPTOMIC SINGLE CELL	not applicable	RNA-Seq	300	50	5'-3'-3'-5'	read 2	0	91	0	read 1	16	3 prime tag	polyA RNA	10xV3	oligo-dT	10x	none	16	read 1	12	P-MTAB-111275	SciLifeLab - SNP&SEQ, NGI 	UC-2915-Sample1_S4_L001	group 1	sequencing assay	ERX5768853	UC-2915-Sample1_S4_L001_R1_001.fastq.gz	UC-2915-Sample1_S4_L001_R1_001.fastq.gz	ERR6131694	ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR613/004/ERR6131694/ERR6131694_1.fastq.gzUC-2915-Sample1_S4_L001_R1_001.fastq.gz	UC-2915-Sample1_S4_L001_R1_001.fastq.gz	UC-2915-Sample1_S4_L001_R2_001.fastq.gz	7	day	EFO	UO_0000033
Sample 1	ERS7007749	SAMEA9273528	Homo sapiens	sample1	77	year	male	adult	glioblastoma multiforme	BFP expressing lentivirus	brain	glial brain cell	U3065MG	cell	P-MTAB-111272	P-MTAB-111273	P-MTAB-111274	Sample 1	PAIRED	PolyA	TRANSCRIPTOMIC SINGLE CELL	not applicable	RNA-Seq	300	50	5'-3'-3'-5'	read 2	0	91	0	read 1	16	3 prime tag	polyA RNA	10xV3	oligo-dT	10x	none	16	read 1	12	P-MTAB-111275	SciLifeLab - SNP&SEQ, NGI 	UC-2915-Sample1_S4_L001	group 1	sequencing assay	ERX5768853	UC-2915-Sample1_S4_L001_R2_001.fastq.gz	UC-2915-Sample1_S4_L001_R2_001.fastq.gz	ERR6131694	ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR613/004/ERR6131694/ERR6131694_2.fastq.gzUC-2915-Sample1_S4_L001_R2_001.fastq.gz	UC-2915-Sample1_S4_L001_R1_001.fastq.gz	UC-2915-Sample1_S4_L001_R2_001.fastq.gz	7	day	EFO	UO_0000033
